Student,Form,Raw Score,Percentage,Sheet,Serial,Questions Answered Incorrectly
1005365935,A,40,83.33333333,1,65,"[2, 6, 12, 21, 28, 35, 37]"
1006070591,A,29,60.41666667,1,23,"[2, 3, 4, 7, 9, 15, 26, 28, 31, 33, 35, 37, 38]"
1007336116,A,37,77.08333333,1,5,"[6, 7, 9, 23, 26, 35, 38]"
1007330719,A,39,81.25,1,37,"[2, 3, 6, 15, 28, 30, 31]"
1006938600,A,44,91.66666667,1,38,"[2, 26]"
1008224422,A,35,72.91666667,1,55,"[1, 2, 8, 11, 12, 21, 26, 31, 37]"
1006870272,A,27,56.25,1,26,"[1, 2, 3, 5, 6, 15, 20, 23, 26, 28, 29, 32, 33, 37, 39]"
1005308203,A,43,89.58333333,1,6,"[2, 3, 6, 21]"
1007493160,A,41,85.41666667,1,15,"[1, 6, 7, 12, 37]"
1007158843,A,23,47.91666667,1,75,"[1, 2, 4, 7, 8, 9, 11, 14, 16, 18, 20, 21, 26, 28, 29, 33, 34, 36]"
1006468305,A,26,54.16666667,1,76,"[1, 2, 6, 7, 9, 11, 14, 21, 23, 24, 26, 29, 30, 35, 36, 38]"
1005259346,A,46,95.83333333,1,9,"[14, 21]"
1007193289,A,41,85.41666667,1,31,"[4, 7, 20, 21, 34]"
1007921536,A,40,83.33333333,1,46,"[2, 6, 13, 23, 26, 32]"
1008560843,A,28,58.33333333,1,4,"[2, 3, 5, 6, 7, 12, 13, 15, 20, 21, 26, 28, 30, 38]"
1007390351,A,42,87.5,1,41,"[6, 21, 23, 26, 32]"
1008232501,A,23,47.91666667,1,82,"[2, 3, 5, 6, 7, 9, 13, 15, 17, 18, 19, 20, 26, 28, 29, 32, 33, 36, 37]"
1005159873,A,43,89.58333333,1,52,"[2, 3, 6, 21]"
1007455567,A,42,87.5,1,3,"[4, 26, 32, 38]"
1007501357,A,42,87.5,1,39,"[1, 2, 6, 37]"
1006413329,A,27,56.25,1,44,"[1, 2, 4, 6, 7, 8, 12, 21, 23, 24, 26, 28, 32, 33, 35, 36]"
1006332023,A,42,87.5,1,54,"[7, 11, 13, 31, 37]"
1006676651,A,35,72.91666667,1,43,"[1, 2, 6, 7, 15, 20, 24, 32]"
1008582231,A,33,68.75,1,71,"[2, 4, 6, 9, 11, 20, 23, 26, 30, 32, 33]"
1007377866,A,23,47.91666667,1,27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 20, 21, 26, 28, 32, 33, 38]"
1007275618,A,25,52.08333333,1,2,"[1, 2, 3, 5, 10, 11, 13, 14, 15, 16, 18, 20, 26, 28, 29, 32, 33, 35] Double-checked manually: pen use."
1006702040,A,25,52.08333333,1,10,"[1, 2, 3, 4, 6, 8, 14, 20, 21, 23, 26, 27, 30, 32, 38, 39]"
1007587737,A,39,81.25,1,30,"[1, 2, 6, 26, 28, 33]"
1006924562,A,42,87.5,1,49,"[6, 20, 29, 31, 37]"
1006286430,A,37,77.08333333,1,83,"[1, 6, 8, 10, 13, 21, 23, 28, 33]"
1005270564,A,31,64.58333333,1,42,"[3, 6, 8, 9, 13, 20, 23, 29, 32, 33, 35, 36, 38]"
1007157568,A,26,54.16666667,1,17,"[1, 2, 3, 4, 8, 20, 26, 27, 28, 30, 31, 32, 34, 38, 39]"
1007186750,A,28,58.33333333,1,84,"[1, 2, 7, 9, 11, 12, 13, 20, 21, 30, 31, 32, 35, 38]"
1007215853,A,35,72.91666667,1,60,"[1, 2, 3, 5, 6, 15, 21, 26, 30]"
1008425571,A,30,62.5,1,56,"[1, 2, 3, 6, 11, 15, 20, 21, 23, 26, 30, 32, 36]"
1007326813,A,38,79.16666667,1,36,"[1, 3, 4, 7, 10, 21, 26]"
1007099756,A,35,72.91666667,1,77,"[1, 2, 6, 7, 9, 12, 26, 37]"
1006210324,A,26,54.16666667,1,22,"[1, 2, 6, 7, 8, 9, 16, 18, 20, 26, 27, 28, 32, 38]"
1006267996,A,24,50,1,88,"[1, 2, 3, 4, 6, 7, 15, 16, 17, 18, 19, 20, 21, 26, 28, 31, 39]"
1008224392,A,32,66.66666667,1,53,"[6, 9, 10, 11, 12, 13, 20, 21, 23, 24, 26, 31, 33]"
1006969844,A,47,97.91666667,1,33,[4]
1007021955,A,45,93.75,1,29,"[2, 37]"
1007325468,A,33,68.75,1,8,"[2, 4, 6, 7, 11, 12, 15, 26, 31, 38]"
1007225708,A,44,91.66666667,1,68,"[6, 20, 21]"
1006330089,A,32,66.66666667,1,87,"[2, 4, 11, 12, 13, 14, 20, 21, 26, 27, 34, 36, 37]"
1004264057,A,32,66.66666667,1,73,"[1, 2, 6, 8, 20, 21, 23, 26, 28, 29, 33]"
1007328919,A,27,56.25,1,61,"[1, 2, 3, 4, 6, 7, 9, 11, 20, 26, 28, 30, 35, 38]"
1006899858,A,43,89.58333333,1,66,"[1, 2, 6]"
1007936067,A,36,75,1,34,"[2, 7, 8, 20, 23, 26, 31]"
1006468706,A,39,81.25,1,28,"[2, 6, 11, 21, 28, 33, 38]"
1006573352,A,28,58.33333333,1,16,"[1, 2, 4, 6, 7, 15, 21, 23, 26, 30, 31, 33, 37, 38]"
1006246073,A,39,81.25,1,12,"[1, 3, 6, 12, 20, 27, 28]"
1006279750,A,31,64.58333333,1,74,"[1, 2, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 30, 31]"
1008106826,A,33,68.75,1,40,"[1, 2, 3, 6, 7, 8, 21, 26, 32, 37]"
1008093634,A,31,64.58333333,1,58,"[2, 6, 7, 11, 13, 15, 20, 21, 28, 35, 37, 38]"
1007214113,A,36,75,1,19,"[1, 2, 6, 7, 10, 20, 23, 30]"
1006429107,A,33,68.75,1,25,"[1, 6, 7, 8, 14, 15, 23, 26, 31, 32]"
1005518735,A,35,72.91666667,1,24,"[1, 2, 6, 9, 15, 26, 28, 32]"
1007447229,A,39,81.25,1,20,"[1, 7, 20, 26, 31]"
1007170847,A,36,75,1,13,"[3, 10, 12, 15, 20, 21, 26, 28, 32]"
1006323943,A,31,64.58333333,1,80,"[1, 2, 6, 8, 14, 20, 21, 26, 30, 33, 38]"
1006933829,A,40,83.33333333,1,69,"[1, 6, 7, 10, 11, 12]"
1007070376,A,31,64.58333333,1,50,"[1, 2, 6, 7, 11, 26, 27, 29, 30, 32, 37, 38]"
1006003325,A,44,91.66666667,1,91,"[3, 7, 37]"
1007271346,A,34,70.83333333,1,14,"[1, 3, 7, 10, 12, 20, 21, 26, 32, 33]"
1005178905,A,30,62.5,1,45,"[1, 2, 3, 6, 7, 9, 15, 23, 26, 28, 31, 37]"
1007658189,A,44,91.66666667,1,67,"[2, 4, 37]"
1007745763,A,33,68.75,1,63,"[2, 6, 9, 10, 11, 12, 15, 26, 27, 34, 37]"
1006799323,A,32,66.66666667,1,64,"[1, 2, 6, 7, 14, 15, 20, 26, 28, 33]"
1006001247,A,35,72.91666667,1,21,"[1, 2, 4, 15, 20, 21, 26, 28]"
1007727337,A,43,89.58333333,1,48,"[1, 4, 7]"
1006331462,A,21,43.75,1,32,"[1, 2, 5, 9, 10, 11, 12, 14, 15, 16, 18, 20, 21, 26, 29, 33, 34, 35, 36, 39]"
1008461745,A,34,70.83333333,1,89,"[2, 6, 13, 14, 16, 17, 18, 20, 21, 23, 28, 30]"
1005412858,A,30,62.5,1,86,"[1, 2, 3, 5, 6, 13, 20, 21, 26, 30, 33, 34, 35, 36]"
1006959436,A,36,75,1,70,"[1, 6, 7, 12, 15, 20, 26]"
1007299424,A,32,66.66666667,1,51,"[1, 2, 7, 9, 11, 14, 20, 26, 28, 32]"
1006255598,A,34,70.83333333,1,90,"[2, 6, 7, 13, 14, 15, 22, 23, 28, 34, 36]"
1006534430,A,34,70.83333333,1,11,"[1, 2, 6, 8, 12, 16, 18, 20, 21, 32]"
1007205846,A,16,33.33333333,1,81,"[1, 2, 3, 4, 5, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 26, 32, 33, 35, 39]"
1006434903,A,37,77.08333333,1,18,"[2, 6, 8, 12, 21, 28, 29, 38]"
1008177161,A,24,50,1,72,"[1, 2, 4, 6, 7, 9, 10, 11, 12, 17, 19, 20, 22, 26, 32, 34, 38]"
1006163367,A,24,50,1,62,"[1, 2, 5, 6, 7, 11, 12, 13, 14, 15, 20, 21, 23, 26, 30, 31, 35, 36]"
1006333273,A,37,77.08333333,1,35,"[2, 7, 20, 21, 26, 30, 32]"
1006941464,A,36,75,1,47,"[2, 6, 7, 11, 26, 32, 35, 38]"
1007075558,A,42,87.5,1,59,"[7, 10, 16, 18, 21]"
1006927649,A,33,68.75,1,57,"[1, 2, 6, 7, 8, 21, 26, 28, 29, 31]"
1007291903,A,26,54.16666667,1,7,"[1, 2, 6, 7, 11, 12, 15, 20, 21, 23, 26, 27, 28, 30, 32, 33]"
1005530846,A,44,91.66666667,1,79,"[2, 28, 31]"
1006684456,A,40,83.33333333,1,85,"[2, 6, 11, 28, 31, 38]"
1006318986,A,29,60.41666667,1,78,"[1, 2, 6, 7, 8, 11, 12, 15, 21, 26, 27, 28, 32]"